"Index","Entry Date","Entry Time","Exit Date","Exit Time","Type","Strike","B/S","Qty","Entry Price","Exit Price","Vix","P/L"
"1","2017-01-02"," 11:35:00","2017-01-02"," 14:45:00","","","","","","","16.26","4380.00"
"1.1","2017-01-02"," 11:35:00","2017-01-02"," 14:45:00","CE","17700","Buy","60","497.95","600.40","","6147.00"
"1.2","2017-01-02"," 11:35:00","2017-01-02"," 12:00:00","PE","18200","Buy","60","511.90","482.45","","-1767.00"
"2","2017-01-03"," 11:35:00","2017-01-03"," 14:45:00","","","","","","","15.58","-159.00"
"2.1","2017-01-03"," 11:35:00","2017-01-03"," 13:17:00","CE","17800","Buy","60","532.85","502.20","","-1839.00"
"2.2","2017-01-03"," 11:35:00","2017-01-03"," 14:45:00","PE","18400","Buy","60","472.25","500.25","","1680.00"
"3","2017-01-04"," 11:35:00","2017-01-04"," 14:45:00","","","","","","","15.96","1086.00"
"3.1","2017-01-04"," 11:35:00","2017-01-04"," 14:02:00","CE","17800","Buy","60","460.10","433.65","","-1587.00"
"3.2","2017-01-04"," 11:35:00","2017-01-04"," 14:45:00","PE","18300","Buy","60","482.80","527.35","","2673.00"
"4","2017-01-05"," 11:35:00","2017-01-05"," 14:45:00","","","","","","","15.27","-1065.00"
"4.1","2017-01-05"," 11:35:00","2017-01-05"," 14:45:00","CE","17800","Buy","60","490.60","501.00","","624.00"
"4.2","2017-01-05"," 11:35:00","2017-01-05"," 11:53:00","PE","18400","Buy","60","489.95","461.80","","-1689.00"
"5","2017-01-06"," 11:35:00","2017-01-06"," 14:45:00","","","","","","","14.88","-2769.00"
"5.1","2017-01-06"," 11:35:00","2017-01-06"," 14:45:00","CE","18000","Buy","60","474.30","447.05","","-1635.00"
"5.2","2017-01-06"," 11:35:00","2017-01-06"," 14:45:00","PE","18700","Buy","60","516.25","497.35","","-1134.00"
"6","2017-01-09"," 11:35:00","2017-01-09"," 14:45:00","","","","","","","15.35","-726.00"
"6.1","2017-01-09"," 11:35:00","2017-01-09"," 14:45:00","CE","18000","Buy","60","481.55","479.80","","-105.00"
"6.2","2017-01-09"," 11:35:00","2017-01-09"," 14:45:00","PE","18700","Buy","60","480.25","469.90","","-621.00"
"7","2017-01-10"," 11:35:00","2017-01-10"," 14:45:00","","","","","","","15.18","-1203.00"
"7.1","2017-01-10"," 11:35:00","2017-01-10"," 14:45:00","CE","18000","Buy","60","489.50","499.40","","594.00"
"7.2","2017-01-10"," 11:35:00","2017-01-10"," 13:22:00","PE","18800","Buy","60","521.00","491.05","","-1797.00"
"8","2017-01-11"," 11:35:00","2017-01-11"," 14:45:00","","","","","","","14.83","2205.00"
"8.1","2017-01-11"," 11:35:00","2017-01-11"," 14:45:00","CE","18300","Buy","60","483.55","624.00","","8427.00"
