"Index","Entry Date","Entry Time","Exit Date","Exit Time","Type","Strike","B/S","Qty","Entry Price","Exit Price","Vix","P/L"
"1","2021-01-01"," 10:15:00","2021-01-01"," 15:15:00","","","","","","","20.41","-1716.00"
"1.1","2021-01-01"," 12:45:00","2021-01-01"," 15:15:00","CE","13700","Buy","130","358.10","351.85","","-812.50"
"1.2","2021-01-01"," 11:52:00","2021-01-01"," 15:15:00","PE","14350","Buy","130","335.65","328.70","","-903.50"
"2","2021-01-04"," 10:15:00","2021-01-04"," 15:15:00","","","","","","","19.86","3289.00"
"2.1","2021-01-04"," 13:31:00","2021-01-04"," 15:15:00","CE","13750","Buy","130","365.00","390.30","","3289.00"
"3","2021-01-05"," 10:15:00","2021-01-05"," 15:15:00","","","","","","","20.80","10107.50"
"3.1","2021-01-05"," 11:22:00","2021-01-05"," 15:15:00","CE","13750","Buy","130","378.00","455.75","","10107.50"
"4","2021-01-06"," 10:15:00","2021-01-06"," 15:15:00","","","","","","","20.86","5707.00"
"4.1","2021-01-06"," 11:58:00","2021-01-06"," 15:15:00","PE","14550","Buy","130","345.10","389.00","","5707.00"
"5","2021-01-07"," 10:15:00","2021-01-07"," 15:15:00","","","","","","","20.40","-318.50"
"5.1","2021-01-07"," 12:45:00","2021-01-07"," 13:36:00","CE","13850","Buy","130","364.15","334.15","","-3900.00"
"5.2","2021-01-07"," 13:39:00","2021-01-07"," 15:15:00","PE","14550","Buy","130","379.65","407.20","","3581.50"
"6","2021-01-08"," 10:15:00","2021-01-08"," 15:15:00","","","","","","","20.18","6591.00"
"6.1","2021-01-08"," 11:54:00","2021-01-08"," 15:15:00","CE","13950","Buy","130","368.30","419.00","","6591.00"
"7","2021-01-11"," 10:15:00","2021-01-11"," 15:15:00","","","","","","","22.38","2080.00"
"7.1","2021-01-11"," 13:22:00","2021-01-11"," 15:15:00","CE","14100","Buy","130","368.00","384.00","","2080.00"
"8","2021-01-12"," 10:15:00","2021-01-12"," 15:15:00","","","","","","","22.98","11381.50"
"8.1","2021-01-12"," 11:15:00","2021-01-12"," 15:15:00","CE","14100","Buy","130","396.05","483.60","","11381.50"
"9","2021-01-13"," 10:15:00","2021-01-13"," 15:15:00","","","","","","","23.30","-377.00"
"9.1","2021-01-13"," 11:24:00","2021-01-13"," 15:15:00","PE","14950","Buy","130","368.25","365.35","","-377.00"
"10","2021-01-14"," 10:15:00","2021-01-14"," 15:15:00","","","","","","","23.52","1196.00"
"10.1","2021-01-14"," 11:27:00","2021-01-14"," 15:15:00","CE","14150","Buy","130","429.15","438.35","","1196.00"
"11","2021-01-15"," 10:15:00","2021-01-15"," 15:15:00","","","","","","","23.74","-5707.00"
"11.1","2021-01-15"," 11:24:00","2021-01-15"," 11:46:00","PE","14850","Buy","130","408.15","364.25","","-5707.00"
"12","2021-01-18"," 10:15:00","2021-01-18"," 15:15:00","","","","","","","25.29","-3900.00"
"12.1","2021-01-18"," 11:18:00","2021-01-18"," 11:29:00","CE","14050","Buy","130","347.00","317.00","","-3900.00"
"13","2021-01-19"," 10:15:00","2021-01-19"," 15:15:00","","","","","","","23.63","10926.50"
"13.1","2021-01-19"," 11:49:00","2021-01-19"," 15:15:00","CE","14100","Buy","130","384.95","469.00","","10926.50"
"14","2021-01-20"," 10:15:00","2021-01-20"," 15:15:00","","","","","","","22.61","-1384.50"
"14.1","2021-01-20"," 13:45:00","2021-01-20"," 15:15:00","CE","14200","Buy","130","428.65","448.00","","2515.50"
"14.2","2021-01-20"," 12:31:00","2021-01-20"," 12:55:00","PE","14900","Buy","130","322.35","292.35","","-3900.00"
"15","2021-01-21"," 10:15:00","2021-01-21"," 15:15:00","","","","","","","20.84","14150.50"
"15.1","2021-01-21"," 11:16:00","2021-01-21"," 14:15:00","CE","14350","Buy","130","386.60","356.60","","-3900.00"
"15.2","2021-01-21"," 14:12:00","2021-01-21"," 15:15:00","PE","15100","Buy","130","377.15","516.00","","18050.50"
"16","2021-01-22"," 10:15:00","2021-01-22"," 15:15:00","","","","","","","21.83","-3900.00"
"16.1","2021-01-22"," 11:17:00","2021-01-22"," 11:56:00","PE","14950","Buy","130","482.00","452.00","","-3900.00"
"17","2021-01-25"," 10:15:00","2021-01-25"," 15:15:00","","","","","","","23.18","-3900.00"
"17.1","2021-01-25"," 11:23:00","2021-01-25"," 12:41:00","PE","14700","Buy","130","355.00","325.00","","-3900.00"
"18","2021-01-27"," 10:15:00","2021-01-27"," 15:15:00","","","","","","","23.86","13734.50"
"18.1","2021-01-27"," 11:27:00","2021-01-27"," 11:38:00","CE","13800","Buy","130","373.00","343.00","","-3900.00"
"18.2","2021-01-27"," 11:41:00","2021-01-27"," 15:15:00","PE","14500","Buy","130","386.60","522.25","","17634.50"
"19","2021-01-28"," 10:15:00","2021-01-28"," 15:15:00","","","","","","","24.01","-3900.00"
"19.1","2021-01-28"," 12:09:00","2021-01-28"," 13:31:00","PE","14200","Buy","130","391.75","361.75","","-3900.00"
"20","2021-01-29"," 10:15:00","2021-01-29"," 15:15:00","","","","","","","24.75","-3900.00"
"20.1","2021-01-29"," 12:06:00","2021-01-29"," 12:28:00","PE","14100","Buy","130","418.25","388.25","","-3900.00"
"21","2021-02-01"," 10:15:00","2021-02-01"," 15:15:00","","","","","","","24.95","-3900.00"
"21.1","2021-02-01"," 11:21:00","2021-02-01"," 12:16:00","CE","13500","Buy","130","404.35","374.35","","-3900.00"
"22","2021-02-02"," 10:15:00","2021-02-02"," 15:15:00","","","","","","","23.34","-3900.00"
"22.1","2021-02-02"," 14:21:00","2021-02-02"," 14:51:00","CE","14350","Buy","130","333.00","303.00","","-3900.00"
"23","2021-02-03"," 10:15:00","2021-02-03"," 15:15:00","","","","","","","23.65","-3900.00"
"23.1","2021-02-03"," 11:22:00","2021-02-03"," 14:53:00","CE","14400","Buy","130","416.60","386.60","","-3900.00"
"24","2021-02-04"," 10:15:00","2021-02-04"," 15:15:00","","","","","","","23.21","13045.50"
"24.1","2021-02-04"," 11:16:00","2021-02-04"," 15:15:00","CE","14400","Buy","130","387.15","487.50","","13045.50"
"25","2021-02-05"," 10:15:00","2021-02-05"," 15:15:00","","","","","","","23.65","-3900.00"
"25.1","2021-02-05"," 11:31:00","2021-02-05"," 13:18:00","CE","14650","Buy","130","355.15","325.15","","-3900.00"
"26","2021-02-08"," 10:15:00","2021-02-08"," 15:15:00","","","","","","","23.96","-5258.50"
"26.1","2021-02-08"," 13:57:00","2021-02-08"," 15:15:00","CE","14800","Buy","130","359.90","349.45","","-1358.50"
"26.2","2021-02-08"," 12:10:00","2021-02-08"," 13:57:00","PE","15450","Buy","130","375.55","345.55","","-3900.00"
"27","2021-02-09"," 10:15:00","2021-02-09"," 15:15:00","","","","","","","23.79","2119.00"
"27.1","2021-02-09"," 11:17:00","2021-02-09"," 14:46:00","CE","14850","Buy","130","389.85","359.85","","-3900.00"
"27.2","2021-02-09"," 14:47:00","2021-02-09"," 15:15:00","PE","15500","Buy","130","353.65","399.95","","6019.00"
"28","2021-02-10"," 10:15:00","2021-02-10"," 14:11:00","","","","","","","24.66","-7800.00"
"28.1","2021-02-10"," 11:22:00","2021-02-10"," 13:33:00","CE","14750","Buy","130","340.60","310.60","","-3900.00"
"28.2","2021-02-10"," 13:43:00","2021-02-10"," 14:11:00","PE","15400","Buy","130","395.10","365.10","","-3900.00"
"29","2021-02-11"," 10:15:00","2021-02-11"," 15:15:00","","","","","","","23.68","-3932.50"
"29.1","2021-02-11"," 14:25:00","2021-02-11"," 15:15:00","CE","14800","Buy","130","368.05","367.80","","-32.50"
"29.2","2021-02-11"," 11:16:00","2021-02-11"," 12:32:00","PE","15500","Buy","130","376.35","346.35","","-3900.00"
"30","2021-02-12"," 10:15:00","2021-02-12"," 15:15:00","","","","","","","22.55","-1664.00"
"30.1","2021-02-12"," 11:15:00","2021-02-12"," 12:15:00","CE","14900","Buy","130","363.85","333.85","","-3900.00"
"30.2","2021-02-12"," 13:42:00","2021-02-12"," 15:15:00","PE","15500","Buy","130","342.80","360.00","","2236.00"
"31","2021-02-15"," 10:15:00","2021-02-15"," 15:15:00","","","","","","","21.79","-2996.50"
"31.1","2021-02-15"," 13:02:00","2021-02-15"," 15:15:00","CE","14950","Buy","130","389.05","396.00","","903.50"
"31.2","2021-02-15"," 14:16:00","2021-02-15"," 14:22:00","PE","15600","Buy","130","325.00","295.00","","-3900.00"
"32","2021-02-16"," 10:15:00","2021-02-16"," 15:15:00","","","","","","","21.79","9503.00"
"32.1","2021-02-16"," 11:16:00","2021-02-16"," 15:15:00","PE","15750","Buy","130","360.00","433.10","","9503.00"
"33","2021-02-17"," 10:15:00","2021-02-17"," 13:21:00","","","","","","","21.23","-8047.00"
"33.1","2021-02-17"," 12:37:00","2021-02-17"," 12:49:00","CE","14900","Buy","130","419.50","387.60","","-4147.00"
"33.2","2021-02-17"," 13:05:00","2021-02-17"," 13:21:00","PE","15600","Buy","130","382.20","352.20","","-3900.00"
"34","2021-02-18"," 10:15:00","2021-02-18"," 15:15:00","","","","","","","21.46","12779.00"
"34.1","2021-02-18"," 11:16:00","2021-02-18"," 15:15:00","PE","15550","Buy","130","325.50","423.80","","12779.00"
"35","2021-02-19"," 10:15:00","2021-02-19"," 15:15:00","","","","","","","21.53","-3900.00"
"35.1","2021-02-19"," 11:16:00","2021-02-19"," 11:50:00","PE","15450","Buy","130","411.60","381.60","","-3900.00"
"36","2021-02-22"," 10:15:00","2021-02-22"," 15:15:00","","","","","","","23.46","18739.50"
"36.1","2021-02-22"," 11:20:00","2021-02-22"," 15:15:00","PE","15200","Buy","130","377.70","521.85","","18739.50"
"37","2021-02-23"," 10:15:00","2021-02-23"," 15:15:00","","","","","","","24.90","-3900.00"
"37.1","2021-02-23"," 11:40:00","2021-02-23"," 13:09:00","PE","15100","Buy","130","346.30","316.30","","-3900.00"
"38","2021-02-25"," 10:15:00","2021-02-25"," 14:21:00","","","","","","","23.30","-7800.00"
"38.1","2021-02-25"," 13:19:00","2021-02-25"," 14:21:00","CE","14800","Buy","130","346.30","316.30","","-3900.00"
"38.2","2021-02-25"," 11:37:00","2021-02-25"," 13:19:00","PE","15500","Buy","130","387.65","357.65","","-3900.00"
"39","2021-02-26"," 10:15:00","2021-02-26"," 15:15:00","","","","","","","24.75","13247.00"
"39.1","2021-02-26"," 11:20:00","2021-02-26"," 15:15:00","PE","15150","Buy","130","516.70","618.60","","13247.00"
"40","2021-03-01"," 10:15:00","2021-03-01"," 15:15:00","","","","","","","26.80","-3900.00"
"40.1","2021-03-01"," 11:31:00","2021-03-01"," 13:31:00","PE","15000","Buy","130","320.90","290.90","","-3900.00"
"41","2021-03-02"," 10:15:00","2021-03-02"," 15:15:00","","","","","","","24.33","-3900.00"
"41.1","2021-03-02"," 15:15:00","2021-03-02"," 15:15:00","CE","14600","Buy","130","361.30","361.30","","0.00"
"41.2","2021-03-02"," 11:16:00","2021-03-02"," 13:43:00","PE","15250","Buy","130","436.35","406.35","","-3900.00"
"42","2021-03-03"," 10:15:00","2021-03-03"," 15:15:00","","","","","","","22.48","19922.50"
"42.1","2021-03-03"," 11:51:00","2021-03-03"," 15:15:00","CE","14700","Buy","130","403.90","557.15","","19922.50"
